origem,tipo,classificacao,acao,destino,motivo
D:\novosproj\archive\versions\bring-any-idea-to-life,web-app,project,summarize,projects/bring-any-idea-to-life,Replaced by a lightweight knowledge representation.
D:\novosproj\archive\versions\bring-any-idea-to-life,web-app,project,reference,projects/bring-any-idea-to-life/manifest.json,Original path kept only as a pointer.
D:\novosproj\archive\versions\capy-station---stackverse-portfolio,web-app,project,summarize,projects/capy-station-stackverse-portfolio,Replaced by a lightweight knowledge representation.
D:\novosproj\archive\versions\capy-station---stackverse-portfolio,web-app,project,reference,projects/capy-station-stackverse-portfolio/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\absencia-control-main\absencia-control-main,web-app,project,summarize,projects/absencia-control-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\absencia-control-main\absencia-control-main,web-app,project,reference,projects/absencia-control-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\aura-main\aura-main,desktop-app,project,summarize,projects/aura-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\aura-main\aura-main,desktop-app,project,reference,projects/aura-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\bocaaberta,web-app,project,summarize,projects/bocaaberta,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\bocaaberta,web-app,project,reference,projects/bocaaberta/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capibaraanalytics-main\capibaraanalytics-main,web-app,project,summarize,projects/capibaraanalytics-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capibaraanalytics-main\capibaraanalytics-main,web-app,project,reference,projects/capibaraanalytics-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capy-ai-verse-main\capy-ai-verse-main,web-app,project,summarize,projects/capy-ai-verse-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capy-ai-verse-main\capy-ai-verse-main,web-app,project,reference,projects/capy-ai-verse-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\Capy-Station-main\Capy-Station-main,web-app,project,summarize,projects/capy-station-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\Capy-Station-main\Capy-Station-main,web-app,project,reference,projects/capy-station-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capy-universe-main\capy-universe-main,web-app,project,summarize,projects/capy-universe-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capy-universe-main\capy-universe-main,web-app,project,reference,projects/capy-universe-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capy-workspace,web-app,project,summarize,projects/capy-workspace,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capy-workspace,web-app,project,reference,projects/capy-workspace/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\CapyAgente-main\CapyAgente-main,web-app,project,summarize,projects/capyagente-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\CapyAgente-main\CapyAgente-main,web-app,project,reference,projects/capyagente-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\CapyAI-main\CapyAI-main,web-app,project,summarize,projects/capyai-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\CapyAI-main\CapyAI-main,web-app,project,reference,projects/capyai-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\CapyAI-wx-main\CapyAI-wx-main,web-app,project,summarize,projects/capyai-wx-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\CapyAI-wx-main\CapyAI-wx-main,web-app,project,reference,projects/capyai-wx-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capybox-main\capybox-main,web-app,project,summarize,projects/capybox-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capybox-main\capybox-main,web-app,project,reference,projects/capybox-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capychat-main\capychat-main,web-app,project,summarize,projects/capychat-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capychat-main\capychat-main,web-app,project,reference,projects/capychat-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capycontrato-main\capycontrato-main,web-app,project,summarize,projects/capycontrato-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capycontrato-main\capycontrato-main,web-app,project,reference,projects/capycontrato-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyfactory-main\capyfactory-main,web-app,project,summarize,projects/capyfactory-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyfactory-main\capyfactory-main,web-app,project,reference,projects/capyfactory-main/manifest.json,Original path kept only as a pointer.
D:\novosproj\projects\2025\capyide-main\capyide-main,software-project,project,summarize,projects/capyide-main,Replaced by a lightweight knowledge representation.
D:\novosproj\projects\2025\capyide-main\capyide-main,software-project,project,reference,projects/capyide-main/manifest.json,Original path kept only as a pointer.
